incident_id,occurred_at,reported_at,category,subcategory,description,severity,status,latitude,longitude,state_code,district_code,station_code,source_dataset_id
DEMO-006905,2026-01-04T18:00:00,2026-01-04T20:00:00,Theft,Fictional,SYNTHETIC: no real incident,high,demo,12.971682,77.599269,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-006906,2026-01-03T12:00:00,2026-01-03T14:00:00,Fraud,Fictional,SYNTHETIC: no real incident,medium,demo,12.972649,77.599585,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-006908,2026-01-01T01:00:00,2026-01-01T03:00:00,Fraud,Fictional,SYNTHETIC: no real incident,critical,demo,12.97601,77.594454,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-006910,2026-01-04T06:00:00,2026-01-04T08:00:00,Burglary,Fictional,SYNTHETIC: no real incident,critical,demo,12.968488,77.598437,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-006911,2026-01-01T14:00:00,2026-01-01T16:00:00,Burglary,Fictional,SYNTHETIC: no real incident,critical,demo,12.975366,77.594066,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-006912,2026-01-04T22:00:00,2026-01-05T00:00:00,Burglary,Fictional,SYNTHETIC: no real incident,critical,demo,12.976433,77.592358,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-006914,2026-01-02T09:00:00,2026-01-02T11:00:00,Theft,Fictional,SYNTHETIC: no real incident,critical,demo,12.297427,76.636578,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-006915,2026-01-02T04:00:00,2026-01-02T06:00:00,Theft,Fictional,SYNTHETIC: no real incident,low,demo,12.291039,76.643038,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-006917,2026-01-02T17:00:00,2026-01-02T19:00:00,Fraud,Fictional,SYNTHETIC: no real incident,medium,demo,12.292036,76.637354,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-006918,2026-01-04T04:00:00,2026-01-04T06:00:00,Burglary,Fictional,SYNTHETIC: no real incident,low,demo,12.300197,76.641866,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-006920,2026-01-03T03:00:00,2026-01-03T05:00:00,Burglary,Fictional,SYNTHETIC: no real incident,critical,demo,12.291859,76.640851,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-006921,2026-01-04T12:00:00,2026-01-04T14:00:00,Burglary,Fictional,SYNTHETIC: no real incident,low,demo,12.294601,76.640614,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-006922,2026-01-04T17:00:00,2026-01-04T19:00:00,Theft,Fictional,SYNTHETIC: no real incident,low,demo,12.917227,74.853327,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-006923,2026-01-03T13:00:00,2026-01-03T15:00:00,Theft,Fictional,SYNTHETIC: no real incident,high,demo,12.916629,74.852869,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-006924,2026-01-04T19:00:00,2026-01-04T21:00:00,Fraud,Fictional,SYNTHETIC: no real incident,medium,demo,12.913322,74.851997,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-006925,2026-01-01T21:00:00,2026-01-01T23:00:00,Burglary,Fictional,SYNTHETIC: no real incident,critical,demo,12.913581,74.851348,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-006927,2026-01-03T15:00:00,2026-01-03T17:00:00,Burglary,Fictional,SYNTHETIC: no real incident,medium,demo,12.909832,74.857616,KA,Mangaluru,DEMO-STATION-3,synthetic-generator-v1
DEMO-006928,2026-01-03T10:00:00,2026-01-03T12:00:00,Theft,Fictional,SYNTHETIC: no real incident,medium,demo,15.366207,75.124159,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-006929,2026-01-04T09:00:00,2026-01-04T11:00:00,Theft,Fictional,SYNTHETIC: no real incident,critical,demo,15.361083,75.126737,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
DEMO-006930,2026-01-03T06:00:00,2026-01-03T08:00:00,Theft,Fictional,SYNTHETIC: no real incident,critical,demo,15.361906,75.126004,KA,Hubballi,DEMO-STATION-4,synthetic-generator-v1
