incident_id,occurred_at,reported_at,category,subcategory,description,severity,status,latitude,longitude,state_code,district_code,station_code,source_dataset_id
DEMO-000001,2024-01-05T23:00:00,2024-01-06T01:00:00,Theft,Fictional,SYNTHETIC: no real incident,critical,demo,12.973215,77.594663,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000002,2024-01-05T17:00:00,2024-01-05T19:00:00,Theft,Fictional,SYNTHETIC: no real incident,high,demo,12.96772,77.594274,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000003,2024-01-06T02:00:00,2024-01-06T04:00:00,Theft,Fictional,SYNTHETIC: no real incident,high,demo,12.974263,77.590569,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000004,2024-01-05T21:00:00,2024-01-05T23:00:00,Theft,Fictional,SYNTHETIC: no real incident,high,demo,12.976104,77.593987,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000005,2024-01-06T20:00:00,2024-01-06T22:00:00,Theft,Fictional,SYNTHETIC: no real incident,critical,demo,12.971042,77.595128,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000006,2024-01-04T11:00:00,2024-01-04T13:00:00,Theft,Fictional,SYNTHETIC: no real incident,high,demo,12.971548,77.590602,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000007,2024-01-05T14:00:00,2024-01-05T16:00:00,Theft,Fictional,SYNTHETIC: no real incident,low,demo,12.971218,77.598019,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000008,2024-01-05T16:00:00,2024-01-05T18:00:00,Theft,Fictional,SYNTHETIC: no real incident,medium,demo,12.966691,77.595886,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000009,2024-01-03T09:00:00,2024-01-03T11:00:00,Theft,Fictional,SYNTHETIC: no real incident,high,demo,12.96666,77.594846,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000010,2024-01-04T12:00:00,2024-01-04T14:00:00,Theft,Fictional,SYNTHETIC: no real incident,low,demo,12.970754,77.590865,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000011,2024-01-03T17:00:00,2024-01-03T19:00:00,Theft,Fictional,SYNTHETIC: no real incident,medium,demo,12.971957,77.591596,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000012,2024-01-06T21:00:00,2024-01-06T23:00:00,Fraud,Fictional,SYNTHETIC: no real incident,low,demo,12.974425,77.595562,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000013,2024-01-06T00:00:00,2024-01-06T02:00:00,Fraud,Fictional,SYNTHETIC: no real incident,low,demo,12.975197,77.595897,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000014,2024-01-01T17:00:00,2024-01-01T19:00:00,Fraud,Fictional,SYNTHETIC: no real incident,medium,demo,12.973309,77.597832,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000015,2024-01-06T10:00:00,2024-01-06T12:00:00,Fraud,Fictional,SYNTHETIC: no real incident,low,demo,12.969519,77.591861,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000016,2024-01-03T05:00:00,2024-01-03T07:00:00,Fraud,Fictional,SYNTHETIC: no real incident,high,demo,12.970181,77.59561,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000017,2024-01-04T06:00:00,2024-01-04T08:00:00,Fraud,Fictional,SYNTHETIC: no real incident,medium,demo,12.975531,77.592534,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000018,2024-01-05T11:00:00,2024-01-05T13:00:00,Fraud,Fictional,SYNTHETIC: no real incident,low,demo,12.969983,77.597349,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000019,2024-01-01T01:00:00,2024-01-01T03:00:00,Fraud,Fictional,SYNTHETIC: no real incident,low,demo,12.976343,77.589755,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000020,2024-01-04T03:00:00,2024-01-04T05:00:00,Fraud,Fictional,SYNTHETIC: no real incident,medium,demo,12.968099,77.593465,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000021,2024-01-06T17:00:00,2024-01-06T19:00:00,Fraud,Fictional,SYNTHETIC: no real incident,high,demo,12.969517,77.596149,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000022,2024-01-01T17:00:00,2024-01-01T19:00:00,Fraud,Fictional,SYNTHETIC: no real incident,low,demo,12.972338,77.592888,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000023,2024-01-06T03:00:00,2024-01-06T05:00:00,Fraud,Fictional,SYNTHETIC: no real incident,high,demo,12.974761,77.595646,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000024,2024-01-06T16:00:00,2024-01-06T18:00:00,Fraud,Fictional,SYNTHETIC: no real incident,high,demo,12.969528,77.597242,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000025,2024-01-02T09:00:00,2024-01-02T11:00:00,Fraud,Fictional,SYNTHETIC: no real incident,medium,demo,12.97385,77.597805,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000026,2024-01-03T10:00:00,2024-01-03T12:00:00,Fraud,Fictional,SYNTHETIC: no real incident,critical,demo,12.970752,77.591332,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000027,2024-01-01T22:00:00,2024-01-02T00:00:00,Fraud,Fictional,SYNTHETIC: no real incident,medium,demo,12.976424,77.593821,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000028,2024-01-07T09:00:00,2024-01-07T11:00:00,Burglary,Fictional,SYNTHETIC: no real incident,low,demo,12.970938,77.597204,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000029,2024-01-02T14:00:00,2024-01-02T16:00:00,Burglary,Fictional,SYNTHETIC: no real incident,high,demo,12.971994,77.593825,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000030,2024-01-05T11:00:00,2024-01-05T13:00:00,Burglary,Fictional,SYNTHETIC: no real incident,medium,demo,12.967317,77.59829,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000031,2024-01-05T17:00:00,2024-01-05T19:00:00,Burglary,Fictional,SYNTHETIC: no real incident,high,demo,12.971194,77.596547,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000032,2024-01-06T22:00:00,2024-01-07T00:00:00,Burglary,Fictional,SYNTHETIC: no real incident,low,demo,12.970225,77.597506,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000033,2024-01-05T10:00:00,2024-01-05T12:00:00,Burglary,Fictional,SYNTHETIC: no real incident,low,demo,12.967163,77.594422,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000034,2024-01-02T04:00:00,2024-01-02T06:00:00,Burglary,Fictional,SYNTHETIC: no real incident,low,demo,12.970739,77.595936,KA,Bengaluru,DEMO-STATION-1,synthetic-generator-v1
DEMO-000035,2024-01-06T17:00:00,2024-01-06T19:00:00,Theft,Fictional,SYNTHETIC: no real incident,critical,demo,12.295029,76.63653,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000036,2024-01-04T14:00:00,2024-01-04T16:00:00,Theft,Fictional,SYNTHETIC: no real incident,low,demo,12.297152,76.639068,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000037,2024-01-02T05:00:00,2024-01-02T07:00:00,Theft,Fictional,SYNTHETIC: no real incident,low,demo,12.297559,76.638475,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000038,2024-01-06T19:00:00,2024-01-06T21:00:00,Theft,Fictional,SYNTHETIC: no real incident,high,demo,12.29995,76.634652,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000039,2024-01-04T14:00:00,2024-01-04T16:00:00,Theft,Fictional,SYNTHETIC: no real incident,critical,demo,12.298638,76.642439,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000040,2024-01-01T14:00:00,2024-01-01T16:00:00,Theft,Fictional,SYNTHETIC: no real incident,low,demo,12.295817,76.641371,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000041,2024-01-05T18:00:00,2024-01-05T20:00:00,Theft,Fictional,SYNTHETIC: no real incident,high,demo,12.295133,76.642466,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000042,2024-01-04T16:00:00,2024-01-04T18:00:00,Theft,Fictional,SYNTHETIC: no real incident,high,demo,12.292751,76.637692,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000043,2024-01-01T18:00:00,2024-01-01T20:00:00,Theft,Fictional,SYNTHETIC: no real incident,critical,demo,12.299621,76.634733,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000044,2024-01-04T16:00:00,2024-01-04T18:00:00,Theft,Fictional,SYNTHETIC: no real incident,critical,demo,12.29947,76.636106,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
DEMO-000045,2024-01-01T10:00:00,2024-01-01T12:00:00,Fraud,Fictional,SYNTHETIC: no real incident,medium,demo,12.295205,76.644384,KA,Mysuru,DEMO-STATION-2,synthetic-generator-v1
